iter	Logloss
0	0.6477129164
1	0.6067204254
2	0.5730423388
3	0.5397826373
4	0.5098438425
5	0.4899917922
6	0.4650705056
7	0.4495818153
8	0.431824015
9	0.4141307663
10	0.4002220426
11	0.3858479216
12	0.3743319734
13	0.364179715
14	0.3548153906
15	0.3480305301
16	0.3417501642
17	0.3344694309
18	0.327602595
19	0.3215566217
20	0.313213838
21	0.3063274833
22	0.30230545
23	0.2969808614
24	0.2940333945
25	0.2889735533
26	0.2875349645
27	0.2846862344
28	0.2808080003
29	0.2774171003
30	0.2747164286
31	0.2699517182
32	0.2677811759
33	0.2652189327
34	0.2634368653
35	0.2615058985
36	0.2599264829
37	0.2583840371
38	0.256302653
39	0.2544754646
40	0.2540228891
41	0.2534381152
42	0.2529089717
43	0.2512335472
44	0.2490425456
45	0.2471761973
46	0.2447144829
47	0.2435380643
48	0.2413484269
49	0.2392546508
50	0.2369750729
51	0.2356693529
52	0.2352097407
53	0.2338136934
54	0.2326541032
55	0.2312395011
56	0.2296236615
57	0.2286128724
58	0.2273756577
59	0.2269755283
60	0.22572801
61	0.2251235323
62	0.2246487026
63	0.2235250486
64	0.2224713881
65	0.2218212747
66	0.2202373543
67	0.2197073132
68	0.2190858516
69	0.2187172007
70	0.2181375311
71	0.2176119783
72	0.2168503393
73	0.2159555235
74	0.2151742307
75	0.214149756
76	0.2122483661
77	0.2106720123
78	0.2098278342
79	0.20828184
80	0.2069183636
81	0.2058739605
82	0.2044614764
83	0.2038327027
84	0.2027193871
85	0.2024885811
86	0.2022941123
87	0.2009512236
88	0.1996667748
89	0.1989936238
90	0.198348928
91	0.1973837176
92	0.19660713
93	0.1946561611
94	0.194341615
95	0.1939564783
96	0.1933723552
97	0.191750412
98	0.1910995973
99	0.1908120233
100	0.190601413
101	0.1902681364
102	0.1889230495
103	0.188198088
104	0.1878424258
105	0.18594564
106	0.1852980107
107	0.1847375591
108	0.1839339416
109	0.1835552131
110	0.1829939844
111	0.1822859629
112	0.1821023606
113	0.1819284094
114	0.1817530229
115	0.1807707835
116	0.17936206
117	0.1790903304
118	0.1782128491
119	0.1767386587
120	0.1765346454
121	0.1762150658
122	0.175481636
123	0.1751501561
124	0.1748397339
125	0.1732414905
126	0.1731138351
127	0.1721315347
128	0.171946792
129	0.1706565499
130	0.1700147179
131	0.1698589531
132	0.1695550625
133	0.1690079535
134	0.1688939824
135	0.1687326323
136	0.167841078
137	0.1662116413
138	0.1655704635
139	0.1645828282
140	0.1644305781
141	0.1636619969
142	0.1633024245
143	0.1630543994
144	0.1625313802
145	0.1617379492
146	0.1611713883
147	0.161052009
148	0.1601262929
149	0.1593725104
150	0.1586144109
151	0.158326707
152	0.1575207561
153	0.1568126358
154	0.155991376
155	0.1549827461
156	0.1548579927
157	0.1547115565
158	0.1544939625
159	0.1535554893
160	0.1534398031
161	0.1533337216
162	0.1526187225
163	0.1525143286
164	0.1523093486
165	0.150755129
166	0.1496721903
167	0.1483008774
168	0.1481786122
169	0.1480799729
170	0.1467102451
171	0.1458711125
172	0.1453005736
173	0.1447363368
174	0.1435090672
175	0.1434084719
176	0.1422028334
177	0.1408156713
178	0.1395477673
179	0.1385719742
180	0.1374938311
181	0.1374074722
182	0.13623367
183	0.1361528489
184	0.1356048394
185	0.1345230549
186	0.1337227983
187	0.1336251259
188	0.1323047384
189	0.1322295961
190	0.1315817737
191	0.1304773825
192	0.1293750541
193	0.1282750217
194	0.1280055825
195	0.1278193716
196	0.1277485482
197	0.1272275745
198	0.1270345507
199	0.1268469318
200	0.126671925
201	0.1253933893
202	0.1253296883
203	0.1246834916
204	0.1235048158
205	0.1229237294
206	0.122390397
207	0.121352698
208	0.1203595678
209	0.1194763442
210	0.118801015
211	0.1183626674
212	0.1182882197
213	0.1178574911
214	0.1169538198
215	0.1168913166
216	0.1168298182
217	0.1163809423
218	0.1159297934
219	0.115400568
220	0.1150390042
221	0.1149706944
222	0.1141311844
223	0.1130555664
224	0.1129682982
225	0.1124812696
226	0.1114209635
227	0.1108490153
228	0.1107941356
229	0.1107417107
230	0.1106908739
231	0.1099504338
232	0.1090670506
233	0.1081459294
234	0.108088788
235	0.1076940686
236	0.1076459387
237	0.1067971403
238	0.1066024176
239	0.1065579348
240	0.1062013095
241	0.1053528925
242	0.10455253
243	0.1045074919
244	0.1032483017
245	0.1032045448
246	0.1023404257
247	0.1016891604
248	0.1014302867
249	0.1010136457
250	0.1006259107
251	0.1004573078
252	0.09962209938
253	0.09958062604
254	0.09854673195
255	0.09793132121
256	0.09710385731
257	0.09706430456
258	0.09702117011
259	0.09698236763
260	0.09666768731
261	0.09662959851
262	0.0960498205
263	0.09544496413
264	0.09464309881
265	0.09440734841
266	0.0937747885
267	0.09293716196
268	0.09212301584
269	0.09208496379
270	0.09135956797
271	0.09046001122
272	0.09042396683
273	0.09036942538
274	0.0899276975
275	0.08981999238
276	0.08914977201
277	0.08911525439
278	0.08852096596
279	0.08848752975
280	0.08773639918
281	0.0871309309
282	0.08690195063
283	0.08630208059
284	0.08576097761
285	0.08572796039
286	0.08569627436
287	0.08566626712
288	0.08550509435
289	0.0848912944
290	0.08459350545
291	0.08449969684
292	0.08447112072
293	0.08444198294
294	0.08394960782
295	0.08347804071
296	0.08288424555
297	0.08268138149
298	0.082030506
299	0.08173895119
